,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,S.No. ,Controller,Product,Resources,Sub resource/Action,External/Internal,UI Page,Description,Method,Query Parameter,Path Variable,Request Body,URL,Response Status,Sample successful Response
0,0,0,0,0,0,0,0,0,0,1.0,UserManagementController,Drill,users,login,External,Login Page,Login to the Drill Platform,GET,,,"{
  ""password"": ""string"",
  ""username"": ""string""
}",/api/v1/users/login,200,"{""status"":0, ""token"":""Bearer eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJzdW5pbDExMDExM0BbWFpbC5jb20iLCJhdXRob3JpdGllcyI6W3siYXV0aG9yaXR5IjoiU1VQRVJBRE1JTiJ9XSwiaWF0IjoxNjY0MjYwMDc2LCJleHAiOjE2NjQzMjMyMDB9.BcZRx2DPJxYUz7oJ6b2g_uhhA_iDemK-bDkN0gxCerHgScVfjasmRxjU6zNqfo883aP0RmwXV3w-YjR_VB6sVw"", ""userId"":""null"", ""userDetails"":{""uid"":""8d72f798-c08b-42ef-82c1-2081d7e4764f"",""fullName"":""Sunil Kumar"",""uemail"":""sunil110113@gmail.com""}, ""authorities"":[""SUPERADMIN""], ""responseCode"":200}"
1,1,1,1,1,1,1,1,1,1,2.0,,,users,forgotpassword,External,Forgot Password,API for forgot password and send the email to update password,POST,emailid,,NA,/api/v1/users/forgotpassword,200,Please check your email account for resetting password
2,2,2,2,2,2,2,2,2,2,3.0,,,users,loginattempt,External,Login Page,API to save a user's login atempt,POST,loginAttemptObj,,"{
  ""attemptEmail"": ""string"",
  ""attemptStatus"": ""string"",
  ""attemptTime"": datetime,
  ""device"": ""string"",
  ""location"": ""string"",
  ""loginAttemptId"": 0,
  ""operatingSystem"": ""string""
}",/api/v1/users/loginattempt,200,"{
  ""msg"": ""Login attempt saved""
}"
3,3,3,3,3,3,3,3,3,3,4.0,,,users,register,External,Login Page,API to register users,POST,userObj,,"{
  ""active"": true,
  ""conditionAccepted"": true,
  ""fullName"": ""string"",
  ""jobfeed"": true,
  ""mentor"": true,
  ""password"": ""string"",
  ""resumeLink"": ""string"",
  ""ucontact"": ""string"",
  ""uemail"": ""string"",
  ""ugroup"": ""string"",
  ""uid"": ""string"",
  ""urole"": ""string"",
  ""userCreatedby"": ""string"",
  ""userCreatedts"": ""string"",
  ""userUpdatedby"": ""string"",
  ""userUpdatedts"": ""string"",
  ""username"": ""string"",
  ""utype"": ""string""
}",/api/v1/users/register,200,"tbd {""u_id"":""4c989553-cc97-440f-823d-1c1ca2690f8a""}"
4,4,4,4,4,4,4,4,4,4,5.0,,,users,resendverification,External,Forgot Password,To resend verification email to user,POST,emailid,,NA,/api/v1/users/resendverification,200,"{
  ""headers"": {},
  ""body"": {
    ""msg"": ""You account is verified. Please click on Forgot Password or contact techsupport@wuelev8.tech for further support""
  },
  ""statusCode"": ""INTERNAL_SERVER_ERROR"",
  ""statusCodeValue"": 500
}"
5,5,5,5,5,5,5,5,5,5,6.0,,,users,updatepassword,External,Login Page,To update password for user's account,POST,body,,"{
  ""emailid"": ""string"",
  ""newPassword"": ""string"",
  ""oldPassword"": ""string""
}",/api/v1/users/updatepassword,200,tbd 
6,6,6,6,6,6,6,6,6,6,7.0,,,users,users,,,To find details of a user as per given query,GET,query,,NA,/api/v1/users,200,"[
  {
    ""username"": ""abc@gmail.com"",
    ""fullName"": ""ABC XYZ"",
    ""email"": ""abc@gmail.com"",
    ""password"": null,
    ""userCreatedby"": null,
    ""mentor"": true,
    ""jobfeed"": true,
    ""resumeLink"": ""https://drive.google/"",
    ""userCreatedts"": ""2022-09-28T10:16:59.054+00:00"",
    ""userUpdatedby"": null,
    ""userUpdatedts"": ""2022-09-28T10:16:59.054+00:00"",
    ""active"": true,
    ""uid"": ""4c989553-cc97-440f-823d-1c1ca2690f8a"",
    ""conditionAccepted"": true,
    ""ucontact"": ""1234567890"",
    ""utype"": ""string"",
    ""urole"": ""USER"",
    ""ugroup"": ""GENERAL""
  }
]"
7,7,7,7,7,7,7,7,7,7,8.0,,,users,search,,,To find users' profiles according to given parameters,GET,"isActive,limit,order,profile",,NA,/api/v1/users/search,200,"{
  ""totalRecordCount"": 1,
  ""details"": [
    {
      ""uId"": ""4c989553-cc97-440f-823d-1c1ca2690f8a"",
      ""username"": ""abc@gmail.com"",
      ""fullName"": ""ABC XYZ"",
      ""uEmail"": ""abc@gmail.com"",
      ""uContact"": ""1234567890"",
      ""password"": ""$2a$10$SvBVrBDOFV1eUPCkw3a0ie13jctQQEm9Ccx/1JtSvkcTXAY1eiS3i"",
      ""uGroup"": ""GENERAL"",
      ""uRole"": ""USER"",
      ""isActive"": true,
      ""uType"": ""string"",
      ""isConditionAccepted"": false,
      ""resumeLink"": null,
      ""mentor"": false,
      ""jobfeed"": false,
      ""userCreatedby"": null,
      ""userUpdatedby"": null,
      ""userCreatedts"": ""2022-09-28T10:16:59.054+00:00"",
      ""userUpdatedts"": ""2022-09-28T10:16:59.054+00:00"",
      ""active"": true,
      ""uid"": ""4c989553-cc97-440f-823d-1c1ca2690f8a"",
      ""conditionAccepted"": false,
      ""ucontact"": ""1234567890"",
      ""utype"": ""string"",
      ""urole"": ""USER"",
      ""uemail"": ""abc@gmail.com"",
      ""ugroup"": ""GENERAL""
    }
  ]
}"
8,8,8,8,8,8,8,8,8,8,9.0,,,users,login,,-,tbd,POST,,encodedstring,NA,/api/v1/users/verify/{encodedstring},200,NA
9,9,9,9,9,9,9,9,9,9,10.0,,,users,accesses,,,To find if a user has access to a certain component,GET,"component,componentId",uId,NA,/api/v1/users/{uId}/accesses/component,200,NA
